fecha,SST_oC
2004-01-16,19.18426
2004-02-15,19.690174
2004-03-16,19.310263
2004-04-15,18.665878
2004-05-16,17.051392
2004-06-15,15.739806
2004-07-16,15.140825
2004-08-16,15.086497
2004-09-15,15.197272
2004-10-16,15.303631
2004-11-15,16.006664
2004-12-16,17.606459
2005-01-16,18.689356
2005-02-14,20.284496
2005-03-16,19.962019
2005-04-15,17.558334
2005-05-16,16.5192
2005-06-15,15.564562
2005-07-16,15.407838
2005-08-16,14.838004
2005-09-15,14.548962
2005-10-16,14.837831
2005-11-15,15.899972
2005-12-16,17.503801
2006-01-16,19.449112
2006-02-14,20.858427
2006-03-16,18.973955
2006-04-15,17.038134
2006-05-16,16.456533
2006-06-15,15.849777
2006-07-16,15.592855
2006-08-16,15.247954
2006-09-15,15.196098
2006-10-16,15.83629
2006-11-15,16.765785
2006-12-16,17.783852
2007-01-16,20.341301
2007-02-14,20.57098
2007-03-16,18.967184
2007-04-15,17.795414
2007-05-16,16.670214
2007-06-15,14.799751
2007-07-16,13.6818905
2007-08-16,13.130441
2007-09-15,13.520395
2007-10-16,14.194676
2007-11-15,15.526318
2007-12-16,17.097075
2008-01-16,19.326742
2008-02-15,20.733221
2008-03-16,20.172182
2008-04-15,18.095211
2008-05-16,16.745373
2008-06-15,15.379334
2008-07-16,14.801466
2008-08-16,14.492736
2008-09-15,14.884274
2008-10-16,15.113243
2008-11-15,17.006699
2008-12-16,19.373339
