fecha,SST_oC
2004-01-16,23.375502
2004-02-15,25.411524
2004-03-16,24.752989
2004-04-15,24.099045
2004-05-16,22.130175
2004-06-15,21.024021
2004-07-16,20.629622
2004-08-16,20.049625
2004-09-15,20.488125
2004-10-16,21.423084
2004-11-15,22.56668
2004-12-16,22.251255
2005-01-16,23.817993
2005-02-14,24.799894
2005-03-16,24.070929
2005-04-15,24.760704
2005-05-16,23.84178
2005-06-15,21.487558
2005-07-16,20.606585
2005-08-16,20.951986
2005-09-15,19.751633
2005-10-16,20.02929
2005-11-15,22.238678
2005-12-16,22.496061
2006-01-16,23.721624
2006-02-14,26.215881
2006-03-16,25.886055
2006-04-15,22.541567
2006-05-16,22.586546
2006-06-15,22.188028
2006-07-16,21.842987
2006-08-16,21.639048
2006-09-15,21.11786
2006-10-16,23.24884
2006-11-15,22.758926
2006-12-16,22.828398
2007-01-16,24.608963
2007-02-14,25.136007
2007-03-16,24.4454
2007-04-15,22.96042
2007-05-16,22.03262
2007-06-15,22.653492
2007-07-16,19.923273
2007-08-16,19.118542
2007-09-15,18.685362
2007-10-16,20.566841
2007-11-15,20.423887
2007-12-16,21.616606
2008-01-16,23.433153
2008-02-15,27.07967
2008-03-16,27.272505
2008-04-15,25.535717
2008-05-16,23.275787
2008-06-15,22.937536
2008-07-16,22.922499
2008-08-16,22.188845
2008-09-15,21.452372
2008-10-16,20.932219
2008-11-15,21.149359
2008-12-16,22.080372
