fecha,SST_oC
2004-01-16,9.438289
2004-02-15,10.579893
2004-03-16,10.337523
2004-04-15,8.893893
2004-05-16,7.1608725
2004-06-15,6.198816
2004-07-16,5.5203104
2004-08-16,5.2808523
2004-09-15,5.30945
2004-10-16,5.8106456
2004-11-15,6.997055
2004-12-16,9.03328
2005-01-16,9.70208
2005-02-14,10.0657215
2005-03-16,9.1551695
2005-04-15,7.583992
2005-05-16,6.6103506
2005-06-15,6.060905
2005-07-16,5.0927944
2005-08-16,5.0561066
2005-09-15,5.2772546
2005-10-16,5.949556
2005-11-15,6.9151177
2005-12-16,7.9224787
2006-01-16,9.245656
2006-02-14,9.759619
2006-03-16,9.63682
2006-04-15,8.508616
2006-05-16,7.3465834
2006-06-15,6.0837026
2006-07-16,5.438602
2006-08-16,5.101842
2006-09-15,5.257739
2006-10-16,5.807868
2006-11-15,6.8201184
2006-12-16,8.7001
2007-01-16,8.81476
2007-02-14,8.700703
2007-03-16,8.324306
2007-04-15,7.75849
2007-05-16,6.4856033
2007-06-15,5.4342246
2007-07-16,4.7653546
2007-08-16,4.695693
2007-09-15,4.8687334
2007-10-16,5.5677075
2007-11-15,6.339486
2007-12-16,8.084231
2008-01-16,9.167567
2008-02-15,9.059604
2008-03-16,9.594492
2008-04-15,7.755115
2008-05-16,6.4505653
2008-06-15,5.4700127
2008-07-16,5.1769066
2008-08-16,4.659348
2008-09-15,5.186118
2008-10-16,5.794209
2008-11-15,6.7451177
2008-12-16,8.632799
