fecha,SST_oC
2004-01-16,12.530292
2004-02-15,13.863257
2004-03-16,13.159034
2004-04-15,11.280445
2004-05-16,9.0764675
2004-06-15,7.9887786
2004-07-16,6.8119373
2004-08-16,6.4575357
2004-09-15,6.4097176
2004-10-16,7.324056
2004-11-15,8.724635
2004-12-16,11.850787
2005-01-16,12.679889
2005-02-14,13.318704
2005-03-16,12.203755
2005-04-15,10.204009
2005-05-16,8.502779
2005-06-15,7.4330406
2005-07-16,6.509856
2005-08-16,6.1100154
2005-09-15,6.478705
2005-10-16,7.240571
2005-11-15,9.06106
2005-12-16,10.223359
2006-01-16,11.76706
2006-02-14,12.359856
2006-03-16,11.856484
2006-04-15,10.267403
2006-05-16,8.878466
2006-06-15,7.6203556
2006-07-16,6.7599597
2006-08-16,6.217871
2006-09-15,6.410881
2006-10-16,7.363984
2006-11-15,8.71667
2006-12-16,10.94364
2007-01-16,11.600536
2007-02-14,12.003746
2007-03-16,11.289882
2007-04-15,10.507728
2007-05-16,8.48143
2007-06-15,7.1395946
2007-07-16,6.0178847
2007-08-16,5.6812434
2007-09-15,6.151014
2007-10-16,6.9951005
2007-11-15,7.78475
2007-12-16,9.975074
2008-01-16,12.3113785
2008-02-15,12.761593
2008-03-16,13.168662
2008-04-15,10.45826
2008-05-16,8.511426
2008-06-15,6.9391656
2008-07-16,6.3140664
2008-08-16,5.6747894
2008-09-15,6.174248
2008-10-16,7.069873
2008-11-15,8.79012
2008-12-16,11.3052845
