fecha,SST_oC
2004-01-16,16.870384
2004-02-15,16.357117
2004-03-16,16.534142
2004-04-15,17.00126
2004-05-16,18.043352
2004-06-15,18.594324
2004-07-16,20.413504
2004-08-16,20.973385
2004-09-15,21.995169
2004-10-16,20.654282
2004-11-15,19.13497
2004-12-16,17.442617
2005-01-16,17.082235
2005-02-14,16.75689
2005-03-16,17.10663
2005-04-15,17.082785
2005-05-16,17.889023
2005-06-15,18.330711
2005-07-16,19.883472
2005-08-16,21.082008
2005-09-15,20.771389
2005-10-16,19.991768
2005-11-15,18.824684
2005-12-16,17.543896
2006-01-16,16.721869
2006-02-14,16.587614
2006-03-16,16.040216
2006-04-15,17.057682
2006-05-16,18.300852
2006-06-15,19.023178
2006-07-16,21.006716
2006-08-16,21.795683
2006-09-15,21.784273
2006-10-16,20.715103
2006-11-15,19.860655
2006-12-16,18.175606
2007-01-16,16.64993
2007-02-14,16.341137
2007-03-16,16.424097
2007-04-15,16.16065
2007-05-16,17.070402
2007-06-15,17.876757
2007-07-16,19.543373
2007-08-16,20.702036
2007-09-15,21.090885
2007-10-16,19.887087
2007-11-15,18.48821
2007-12-16,16.65393
2008-01-16,15.731505
2008-02-15,15.392473
2008-03-16,15.81108
2008-04-15,16.317661
2008-05-16,16.991308
2008-06-15,19.331705
2008-07-16,20.6466
2008-08-16,20.8748
2008-09-15,21.07802
2008-10-16,20.947887
2008-11-15,19.636524
2008-12-16,17.368423
