fecha,SST_oC
2004-01-16,27.004818
2004-02-15,26.618284
2004-03-16,26.578905
2004-04-15,27.249186
2004-05-16,27.586655
2004-06-15,27.271952
2004-07-16,27.677258
2004-08-16,28.04288
2004-09-15,29.150423
2004-10-16,29.598076
2004-11-15,28.391577
2004-12-16,27.619448
2005-01-16,27.00563
2005-02-14,26.80875
2005-03-16,27.09632
2005-04-15,27.377724
2005-05-16,29.094229
2005-06-15,28.793001
2005-07-16,28.443499
2005-08-16,29.11527
2005-09-15,29.374348
2005-10-16,29.877405
2005-11-15,28.636532
2005-12-16,27.589382
2006-01-16,26.69656
2006-02-14,26.351
2006-03-16,26.50306
2006-04-15,27.144512
2006-05-16,27.900059
2006-06-15,27.950808
2006-07-16,27.659035
2006-08-16,28.2179
2006-09-15,29.006477
2006-10-16,29.185066
2006-11-15,28.711554
2006-12-16,27.673458
2007-01-16,26.488203
2007-02-14,26.331116
2007-03-16,26.310265
2007-04-15,26.912235
2007-05-16,27.690931
2007-06-15,27.810307
2007-07-16,27.588957
2007-08-16,28.617302
2007-09-15,29.038002
2007-10-16,29.205502
2007-11-15,28.524265
2007-12-16,27.63684
2008-01-16,26.709373
2008-02-15,26.219534
2008-03-16,26.016487
2008-04-15,26.31764
2008-05-16,26.952404
2008-06-15,27.24377
2008-07-16,27.535288
2008-08-16,28.614027
2008-09-15,29.652391
2008-10-16,29.064306
2008-11-15,28.959639
2008-12-16,27.305725
